OBJECTID,GEOID,Tract Label,Tract Name,Community Reporting Area Name,Community Reporting Area ID,Year,Community Reporting Area Vacancy Rate,Year over Year Vacancy Rate Change,PROPERTIES,UNIT_COUNT,CONCERN,Shape__Area,Shape__Length
1,53033001201,12.01,Census Tract 12.01,Northgate/Maple Leaf,8.1,2001,0.071,0.026,21,1209,,10851861.641449,15899.7733430541
2,53033000404,4.04,Census Tract 4.04,Broadview/Bitter Lake,9.1,2001,0.064,0.027,7,454,,6791652.7237854,12962.5584131713
3,53033004901,49.01,Census Tract 49.01,Fremont,11.1,2001,0.059,0.015,106,977,,5350888.21542358,9379.65576684679
4,53033003601,36.01,Census Tract 36.01,Green Lake,9.4,2001,0.068,-0.032,34,412,,7255879.06799316,11894.2888948854
5,53033002800,28,Census Tract 28,Greenwood/Phinney Ridge,9.3,2001,0.052,0.021,31,290,,10637151.8217773,13201.311297987
6,53033003100,31,Census Tract 31,Sunset Hill/Loyal Heights,10.3,2001,0.047,0.019,14,107,Medium,23137464.0452271,24704.5678017235
7,53033006400,64,Census Tract 64,Miller Park,6.4,2001,0.049,0.01,5,103,Medium,9726351.90356445,13186.7701844683
8,53033004301,43.01,Census Tract 43.01,Ravenna/Bryant,7.3,2001,0.043,0.014,8,69,Medium,10539780.5728455,17192.703749828
9,53033002500,25,Census Tract 25,Ravenna/Bryant,7.3,2001,0,0,0,0,,10594634.2979736,16442.9685869958
10,53033002200,22,Census Tract 22,Wedgwood/View Ridge,7.4,2001,0.027,0,5,73,High,30127208.0188904,28505.8067930163
11,53033004000,40,Census Tract 40,Laurelhurst/Sand Point,7.5,2001,0.019,0,2,54,High,26374983.680542,27560.0138429836
12,53033005804,58.04,Census Tract 58.04,Interbay,12.2,2001,0.112,0.076,34,572,,25124062.7388306,48668.2722430527
13,53033006800,68,Census Tract 68,Queen Anne,12.3,2001,0.051,0.017,23,234,,7729250.27154541,11275.3773479613
14,53033008102,81.02,Census Tract 81.02,Downtown Commercial Core,13.2,2001,0.081,0.023,5,173,,5987812.08642578,14339.9950294181
15,53033008101,81.01,Census Tract 81.01,Downtown Commercial Core,13.2,2001,0.037,0.02,5,885,Medium,2992165.47857666,11427.1467556707
16,53033007902,79.02,Census Tract 79.02,Central Area/Squire Park,5.3,2001,0.045,0.017,13,176,Medium,4641637.80010986,9715.12087740264
17,53033007302,73.02,Census Tract 73.02,Cascade/Eastlake,11.3,2001,0.208,0.151,4,663,,3368769.26522827,7802.42635391176
18,53033007101,71.01,Census Tract 71.01,Queen Anne,12.3,2001,0.073,0.016,13,370,,5328474.60678101,9004.94722654019
19,53033009300,93,Census Tract 93,Duwamish/SODO,3.3,2001,0.057,0.019,10,261,,102171584.839813,53946.3734519274
20,53033010502,105.02,Census Tract 105.02,West Seattle Junction/Genesee Hill,1.3,2001,0.103,0.019,22,379,,10504351.3417664,14546.1362419116
